description,latitude,longitude,windowStart,windowEnd,unloadingDuration,loadWeight,loadVolume
80001110,-23.712983,-47.417722,07:30:00,23:59:00,3,51.8,4
80001132,-23.634289,-47.577358,07:30:00,23:59:00,13,222.81,15.66
80001189,-23.648017,-47.448678,07:30:00,23:59:00,5,117,8.4
80001197,-23.65465,-47.4552,07:30:00,23:59:00,6,49.39,3.19
80001250,-23.506539,-47.615558,10:31:00,10:37:00,6,78.28,5.155
80001268,-23.707389,-47.424958,08:52:00,14:37:00,4,115.7,7.8
80001274,-23.746928,-47.531503,07:30:00,23:59:00,8,78.28,5.155
80001275,-23.76125,-47.455569,12:03:00,14:34:00,15,804.19,54.376
80001297,-23.4969,-47.6415,07:30:00,23:59:00,7,131.77,9.87
80001308,-23.513719,-47.462158,07:31:00,09:50:00,19,89.42,7.82
80001530,-23.287619,-47.680789,11:15:00,16:35:00,13,523.1,37.84
80001545,-23.209639,-47.526219,07:30:00,23:59:00,5,60.46,4.8
80001602,-23.284339,-47.683525,07:30:00,23:59:00,27,3070.78,234.44
80001613,-23.199358,-47.528594,08:47:00,16:40:00,9,194.7,13.62
80001619,-23.193419,-47.526569,11:41:00,17:13:00,18,543.8,38.8
80001646,-23.218519,-47.521858,07:30:00,23:59:00,5,56.06,4.16
80001685,-23.201439,-47.5278,07:30:00,23:59:00,2,115.44,8.79
80001691,-23.188539,-47.532069,07:30:00,23:59:00,4,117,8.4
80001700,-23.184678,-47.535789,07:30:00,23:59:00,5,48.35,3.45
80001701,-23.184639,-47.535808,07:30:00,23:59:00,7,82,5.8
80001703,-23.185,-47.536,07:30:00,23:59:00,6,160.47,11.445
80001704,-23.117689,-47.53965,07:30:00,23:59:00,12,103.37,7.87
80001739,-23.289681,-47.270133,07:30:00,23:59:00,18,1321.94,101.74
80001752,-23.264675,-47.300081,08:25:00,10:51:00,12,133.99,10.29
80001755,-23.262808,-47.297289,07:30:00,23:59:00,6,50.69,3.4
80001756,-23.258,-47.303,08:50:00,11:43:00,10,205.21,15.55
80001764,-23.262006,-47.298392,07:30:00,23:59:00,5,98.59,6.67
80001782,-23.259431,-47.300847,07:30:00,23:59:00,15,163.79,11.85
80001873,-23.2909,-47.331319,08:05:00,12:18:00,22,260.6,18.85
80001911,-23.241928,-47.324717,07:30:00,23:59:00,7,25.9,2
80001921,-23.248144,-47.317211,10:21:00,15:16:00,12,484.59,37.13
80001922,-23.2411,-47.3236,07:30:00,23:59:00,6,96.09,7.13
80001932,-23.380792,-47.3327,07:30:00,23:59:00,7,102.58,7.3
80001966,-23.251192,-47.339869,07:30:00,23:59:00,6,640.29,47.68
80002013,-23.39405,-47.333939,07:30:00,23:59:00,5,210.13,15.51
80002015,-23.388758,-47.346883,07:30:00,23:59:00,11,236.828,16.059
80002018,-23.349628,-47.690264,07:30:00,23:59:00,21,117,8.4
80002041,-23.385428,-47.351319,08:54:00,15:27:00,10,351.3,25.24
80002043,-23.388317,-47.345139,10:44:00,15:11:00,7,156.77,11.51
80002071,-23.255044,-47.311417,07:30:00,23:59:00,7,194.7,14.4
80002075,-23.259919,-47.296278,07:30:00,23:59:00,7,79.51,6.03
80002082,-23.257006,-47.307303,07:30:00,23:59:00,7,87.72,6.32
